featureid	Intercept	C(Ethnic_Group, Treatment('Nzime'))[T.Baka]	C(Ethnic_Group, Treatment('Nzime'))[T.HMP]	C(Ethnic_Group, Treatment('Nzime'))[T.JAE]
Bacteroides	1.5415563863478132	-0.8242990016182743	1.6727292232828415	1.0415968509830096
Porphyromonas	2.354432491656346	-0.021912479325183476	2.0951203995065963	0.2877820941127398
Alloprevotella	0.3688630145750471	0.4648271561423458	2.4737583093958175	-1.360109844573631
Paraprevotella	-3.8689160066880763	-0.9858603268107258	2.486453800709752	1.6701694937862017
Prevotella	3.71558692872147	0.14064297683631555	1.3821814947443283	-0.9099996475063703
Tannerella	3.145731357928318	0.176189994887463	0.49538847735693814	0.40085615836750055
Phocaeicola	0.364934234019322	0.14809635885154382	-2.490522176711056	2.942367634407387
Capnocytophaga	3.578469542857212	-0.1074406146248661	2.4903222017603195	1.2057718845523455
Riemerella	-4.405547114018399	-5.923003816529164	3.5750267200784958	2.930484375587807
Candidatus Kryptonium	-0.6055803018846087	-0.03983088724220618	-2.801850587813351	-2.3424506572567365
Fusobacterium	2.785566477175755	-0.1977241872986637	2.201944737942723	-0.0008129266582868055
Leptotrichia	4.071363238688511	0.10426262624656335	0.2859902077036178	-1.3505568889461896
Lautropia	3.108496455546421	-0.24467989198768958	1.7077505060153282	1.425452968708382
Ottowia	1.7052649092636534	0.46825549610053674	-0.17691543766686557	2.86413033925663
Eikenella	1.213733850117726	-0.037306153698810185	2.013469933779744	2.232603392235146
Kingella	0.8690699022970625	-0.040993475838550175	3.338818758042363	1.2645108910716631
Morococcus	0.38907041966537914	-0.6534221111973606	1.647820233614949	1.122347353628979
Neisseria	3.4936363977156106	-0.20902117483223304	2.5027051263170517	1.4405158671058276
Propionivibrio	-3.997295351628262	0.19870588786994592	-5.022535593001339	-6.515414276488915
Desulfobulbus	0.6064772886000105	-0.6172618656596027	-2.6473577327413276	2.6287461134112933
Desulfomicrobium	0.041065244074864005	-1.7152050375183903	-8.643108636824582	2.3998374553836443
Desulfovibrio	-2.8213772493638576	-0.32532581083381995	-6.064949781386349	2.893080911270485
Campylobacter	2.0790518206320234	0.1477776528159298	2.2159376435594833	0.6366940947688677
Cardiobacterium	2.069252399798436	-0.11476423732841834	2.4909173541384018	1.1664183723248103
Aggregatibacter	2.175209848280949	0.14007858045493737	1.8834425055103576	2.264957270256386
Haemophilus	1.4051932078562208	-0.6365693747242771	4.314088790925053	0.9094730379499056
Treponema	2.1345935147962996	0.4064960242072262	1.6612729581685937	1.0011574427105048
Actinobaculum	2.1225990933142134	0.20271215446387902	2.4972051077204025	-5.518908062347068
Actinomyces	4.863405494090123	0.07717106349860803	2.183490067036656	0.7315604003585436
Schaalia	1.653195327218575	-0.2645901083191715	0.9741882376985824	1.7360795947230914
Corynebacterium	4.811661986704869	-0.09386601440513953	1.9921675615625656	-0.8774313119732282
Mycobacterium	-0.8492090421952776	-0.06913586847389563	-0.22638812729546665	-1.9595699695431135
Cellulomonas	-1.4397749620713771	0.06616780765449182	-0.7057512111348831	0.2376797410167315
Kytococcus	-1.075650425557094	-0.04581620685661658	1.1827116005735672	0.2682956072009661
Rothia	2.5022685807905622	-0.060287201329120244	3.6004187755899704	1.5918240162051775
Xylanimonas	-1.8606338220872463	0.008202171401134883	0.10832187465002896	1.8773482652820208
Sanguibacter	-1.996640892628628	0.35261807449256555	-1.5033459968251908	1.5259729834712603
Acidipropionibacterium	-4.031700583104092	-0.1949909567078434	0.6974518590288437	-6.49017051733364
Propionibacterium	2.914036898013157	-0.1692321538170658	-3.556667596785517	-3.447819271453513
Pseudopropionibacterium	3.9497230333052102	-0.07110806696022376	0.7067931585626877	-0.02437619245876288
Tessaracoccus	-1.9169621187486232	0.11345479495917932	1.6849572921784794	-1.209618368514671
Atopobium	-1.2938787657060207	0.5862172604361691	2.1854827099161422	0.5490016254104235
Olsenella	2.0264086109362074	0.648937797621838	-0.3702316589040482	1.684696874252663
Collinsella	-4.608689280156094	0.8689135075369991	-4.483698160140009	2.0317911716617205
Cryptobacterium	-4.58026120245834	2.580620145873181	-4.501992017714472	-5.984155216582909
Gordonibacter	-5.578145475987393	2.1555124283591427	-3.6465084857625696	1.7971215459025958
Slackia	-2.1071345526017726	0.20265326507484094	-0.40902760693261264	2.4364442440188983
Gemella	0.4739742559156843	-0.15371408454979285	2.1699509911852157	0.798124110928879
Abiotrophia	1.6025007796249815	-0.2539502023896061	1.387357621701268	1.2254995914615252
Granulicatella	0.6462732237539717	-0.5434422134598575	1.831900417120961	1.2793092640555956
Streptococcus	3.6984093469343606	0.028835690096966182	2.3810425095873153	1.4425906153834918
Clostridium	-1.7505604940690578	0.24752376087104455	-2.4599354571981147	0.011061391464576964
Mogibacterium	-1.1957473474778704	0.5997028113166012	0.6334999494867599	0.7990287455237963
Eubacterium	-0.34008154452224293	0.2753009558478512	2.0461612038927353	1.0407878509928965
Pseudoramibacter	-0.7009827810563616	-1.711398088856586	-1.7595858878774369	2.4666472288287737
Catonella	-0.5691008287705959	0.43112430580054895	1.9625571959333694	0.9648721801556208
Coprococcus	-3.6065873819627345	-0.2176507353028141	-5.385292322127316	-6.881047287353173
Johnsonella	0.27496948659042797	-0.14155783645714148	0.1688298874216354	-0.27129665888179755
Lachnoanaerobaculum	1.6464297157488295	0.0373255968848385	0.5576858215647018	-2.477015295394553
Lachnoclostridium	-3.9866561609544338	0.37006995685493127	-5.037116319624874	-6.53150180853237
Oribacterium	1.3227193039617964	-1.2847433327874027	-0.6075997657460892	-1.3242903140865705
Shuttleworthia	-3.5243024545945705	0.5544960261145748	-5.451923162428829	-0.4987255719982526
Stomatobaculum	0.25129082619766674	-0.3924004077156864	0.25670000842383267	-4.2935195354305655
Filifactor	-0.9738611894883684	0.433012938574902	0.3933404379205978	1.1653098972953417
Peptoanaerobacter	-0.4187787491120867	0.026364123896709835	1.4694708727913177	0.3855596991695025
Peptostreptococcus	-3.123584242466885	0.4372552395621456	-1.0566776103658402	-0.8770028737865827
Eggerthia	-2.3584935385026515	0.8688930035391964	-1.1863384551686966	1.035106359652386
Solobacterium	-1.2382180410661272	0.3694162131110348	1.2320356362180984	-1.8709679035030744
Centipeda	-0.11912796080489674	0.5349499941626705	1.1223433308916366	-0.5489358095013044
Mitsuokella	0.19179323136429272	-0.1498462199410282	-4.425843507735224	-2.781947412856713
