Species	log fold change (Industrial plaque - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Industrial plaque)	structural.zero (CMC)
Bacteroides heparinolyticus	-1.97270411794914	0	-1.97270411794914	-1.97270411794914	0	0	TRUE	1	0
Bacteroides zoogleoformans	-2.07950691686924	0	-2.07950691686924	-2.07950691686924	0	0	TRUE	1	0
Phocaeicola abscessus	-6.2030467588628	0	-6.2030467588628	-6.2030467588628	0	0	TRUE	1	0
Porphyromonas catoniae	3.08141306955854	0.736873281306636	0.288058372986652	5.87476776613044	0	0	TRUE	0	0
Porphyromonas gingivalis	-4.733023821042	0.9189384123388	-8.21655483659898	-1.24949280548503	0	0	TRUE	0	0
Alloprevotella rava	-1.87932258959387	0	-1.87932258959387	-1.87932258959387	0	0	TRUE	0	0
Prevotella sp. oral taxon 473	-0.0742826627245528	0	-0.0742826627245528	-0.0742826627245528	0	0	TRUE	0	0
Hallella seregens	-1.2778847253748	0	-1.2778847253748	-1.2778847253748	0	0	TRUE	1	0
Prevotella baroniae	-4.6496798147192	0.878154863055903	-7.97860769589431	-1.32075193354408	0	0	TRUE	0	0
Prevotella bivia	-1.10143964897586	0	-1.10143964897586	-1.10143964897586	0	0	TRUE	1	0
Prevotella buccae	-3.84004215894103	0.973913629483855	-7.53197438119516	-0.148109936686903	0	0	TRUE	0	0
Prevotella conceptionensis	-4.52053867207805	1.19659258625565	-9.05660695613001	0.0155296119739221	0	0	TRUE	0	0
Prevotella dentalis	-1.72653793452049	0	-1.72653793452049	-1.72653793452049	0	0	TRUE	1	0
Prevotella denticola	-1.54056969623822	0	-1.54056969623822	-1.54056969623822	0	0	TRUE	0	0
Prevotella fusca	-3.03399382147968	0	-3.03399382147968	-3.03399382147968	0	0	TRUE	0	0
Prevotella histicola	-0.770462956876214	0	-0.770462956876214	-0.770462956876214	0	0	TRUE	0	0
Prevotella intermedia	-3.89171497787211	0.975380608640875	-7.58920825549626	-0.194221700247959	0	0	TRUE	0	0
