#Classification	SRR061192.report.rs.kraken	SRR061294.report.rs.kraken	SRR061320.report.rs.kraken	SRR061365.report.rs.kraken	SRR061562.report.rs.kraken	SRR062083.report.rs.kraken	SRR062298.report.rs.kraken	SRR062299.report.rs.kraken	SRR063517.report.rs.kraken	SRR1804664.report.rs.kraken	SRR1804823.report.rs.kraken	SRR512767.report.rs.kraken	SRR513165.report.rs.kraken	SRR513768.report.rs.kraken	SRR513775.report.rs.kraken	SRR513828.report.rs.kraken	SRR514202.report.rs.kraken	SRR514239.report.rs.kraken	SRR514306.report.rs.kraken	SRR514329.report.rs.kraken
k__Bacteria	11163382	4991360	10630160	14207477	14973596	15380461	5082479	2416143	13137035	14220050	11119987	39233238	6641773	14203832	13477769	21794972	6204671	7341748	22282824	12885920
k__Bacteria|s__thiotrophic_endosymbiont_of_Bathymodiolus_puteoserpentis_(Logatchev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0
k__Bacteria|s__bacterium_LF-3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0
k__Bacteria|s__Bathymodiolus_brooksi_thiotrophic_gill_symbiont	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	2	3	1
k__Bacteria|s__bacterium_A52C2	0	0	0	0	1	1	0	3	1	7	0	0	2	0	0	0	1	0	2	0
k__Bacteria|s__bacterium_J10(2018)	0	0	0	0	3	0	4	0	0	0	0	1	1	0	7	12	2	3	1	0
k__Bacteria|c__Candidatus_Babeliae	0	0	0	0	2	1	6	0	0	1	3	2	1	1	4	0	0	1	0	1
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	0	0	0	0	2	1	6	0	0	1	3	2	1	1	4	0	0	1	0	1
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae	0	0	0	0	2	1	6	0	0	1	3	2	1	1	4	0	0	1	0	1
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela	0	0	0	0	2	1	6	0	0	1	3	2	1	1	4	0	0	1	0	1
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis	0	0	0	0	2	1	6	0	0	1	3	2	1	1	4	0	0	1	0	1
k__Bacteria|s__bacterium_2013Arg42i	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Coprothermobacterota	0	0	1	1	4	4	2	2	1	0	0	10	3	0	4	18	1	2	33	25
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	0	0	1	1	4	4	2	2	1	0	0	10	3	0	4	18	1	2	33	25
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	0	0	1	1	4	4	2	2	1	0	0	10	3	0	4	18	1	2	33	25
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	0	0	1	1	4	4	2	2	1	0	0	10	3	0	4	18	1	2	33	25
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	0	0	1	1	4	4	2	2	1	0	0	10	3	0	4	18	1	2	33	25
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus	0	0	0	0	4	4	2	1	0	0	0	10	2	0	4	17	1	1	32	25
